"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Arnav Raj\Memory Canvas\src\App.jsx", "JavaScript JSX", 96, 0, 0, 1, 10, 107
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\Card.jsx", "JavaScript JSX", 12, 0, 0, 0, 3, 15
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\CreateAccount.jsx", "JavaScript JSX", 135, 0, 0, 32, 10, 177
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\Footer.jsx", "JavaScript JSX", 92, 0, 0, 1, 3, 96
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\Gallery.jsx", "JavaScript JSX", 105, 0, 0, 2, 12, 119
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\Home.jsx", "JavaScript JSX", 60, 0, 0, 0, 4, 64
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\LoadingPage.jsx", "JavaScript JSX", 16, 0, 0, 1, 3, 20
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\Login.jsx", "JavaScript JSX", 139, 0, 0, 10, 10, 159
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\NavBar.jsx", "JavaScript JSX", 84, 0, 0, 2, 8, 94
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\NotFound.jsx", "JavaScript JSX", 50, 0, 0, 1, 2, 53
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\Profile.jsx", "JavaScript JSX", 7, 0, 0, 0, 2, 9
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\ProtectedRoute.jsx", "JavaScript JSX", 9, 0, 0, 0, 2, 11
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\SignInUp.jsx", "JavaScript JSX", 60, 0, 0, 17, 5, 82
"c:\Users\Arnav Raj\Memory Canvas\src\appcomponents\Upload.jsx", "JavaScript JSX", 102, 0, 0, 0, 7, 109
"c:\Users\Arnav Raj\Memory Canvas\src\components\ui\TermsandPolicies.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\Arnav Raj\Memory Canvas\src\components\ui\alert.jsx", "JavaScript JSX", 57, 0, 0, 0, 7, 64
"c:\Users\Arnav Raj\Memory Canvas\src\components\ui\avatar.jsx", "JavaScript JSX", 40, 0, 0, 0, 6, 46
"c:\Users\Arnav Raj\Memory Canvas\src\components\ui\button.jsx", "JavaScript JSX", 50, 0, 0, 0, 6, 56
"c:\Users\Arnav Raj\Memory Canvas\src\components\ui\checkbox.jsx", "JavaScript JSX", 25, 0, 0, 0, 4, 29
"c:\Users\Arnav Raj\Memory Canvas\src\components\ui\navigation-menu.jsx", "JavaScript JSX", 141, 0, 0, 0, 12, 153
"c:\Users\Arnav Raj\Memory Canvas\src\contexts\ActiveUser.js", "JavaScript", 0, 0, 5, 0, 0, 5
"c:\Users\Arnav Raj\Memory Canvas\src\contexts\ImgContext.js", "JavaScript", 0, 0, 4, 0, 4, 8
"c:\Users\Arnav Raj\Memory Canvas\src\contexts\ThemeContext.js", "JavaScript", 0, 0, 4, 0, 4, 8
"c:\Users\Arnav Raj\Memory Canvas\src\contexts\UserContext.js", "JavaScript", 0, 0, 5, 0, 1, 6
"c:\Users\Arnav Raj\Memory Canvas\src\index.css", "CSS", 0, 129, 0, 0, 11, 140
"c:\Users\Arnav Raj\Memory Canvas\src\lib\utils.js", "JavaScript", 0, 0, 5, 0, 2, 7
"c:\Users\Arnav Raj\Memory Canvas\src\main.jsx", "JavaScript JSX", 42, 0, 0, 0, 3, 45
"c:\Users\Arnav Raj\Memory Canvas\src\secondary.css", "CSS", 0, 2, 0, 0, 0, 2
"Total", "-", 1322, 131, 23, 67, 142, 1685
